gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
E2F1,,,,no,0.465,0.367,2156,886,-0.342
E2F3,,,,no,1.262,0.901,5855,2177,-0.486
E2F4,,,,no,2.583,2.263,11986,5470,-0.19
E4F1,,,,no,0.947,0.61,4396,1475,-0.634
EBF1,,,,no,1.187,1.166,5509,2818,-0.026
EBF2,,,,no,0.3,0.498,1393,1203,0.73
EBI3,,,,no,0.609,0.275,2827,664,-1.149
EBP,,,,no,1.79,1.175,8306,2840,-0.607
ECD,,,,no,3.294,3.003,15286,7257,-0.134
ECE1,,,,no,6.921,5.972,32120,14433,-0.213
ECEL1,,,,no,0.125,0.111,579,269,-0.165
ECHDC1,,,,no,2.88,2.114,13368,5109,-0.446
ECHS1,,,,no,2.803,1.952,13008,4717,-0.522
ECPAS,,,,no,6.065,5.133,28145,12405,-0.241
ECRG4,,,,no,0.098,0.097,455,234,-0.018
ECSIT,,,,no,1.51,1.104,7008,2669,-0.451
EDA,,,,no,0.241,0.273,1120,659,0.176
EDIL3,,,,no,0.062,0.098,289,237,0.655
EDN1,,,,no,0.465,0.245,2157,592,-0.924
EDNRA,,,,no,0.669,0.61,3106,1474,-0.134
EDNRB,,,,no,0.458,0.254,2124,615,-0.847
EDRF1,,,,no,1.218,1.077,5654,2602,-0.178
EED,,,,no,2.137,1.872,9917,4525,-0.191
EEF1A2,,,,no,0.182,0.122,843,296,-0.569
EEF1AKNMT,,,,no,2.802,2.073,13003,5011,-0.434
EEF1G,,,,no,88.224,77.336,409441,186912,-0.19
EFHC1,,,,no,1.704,1.455,7909,3517,-0.228
EFHC2,,,,no,0.36,0.286,1671,692,-0.331
EFNB2,,,,no,1.363,1.28,6327,3094,-0.091
EFR3A,,,,no,4.025,3.363,18679,8127,-0.259
EFR3B,,,,no,0.121,0.122,560,294,0.012
EFS,,,,no,0.655,0.917,3040,2216,0.485
EFTUD2,,,,no,3.308,2.162,15353,5226,-0.613
EGF,,,,no,0.081,0.088,377,212,0.111
EGFL6,,,,no,0.17,0.161,787,390,-0.072
EGFL7,,,,no,2.424,2.953,11250,7136,0.285
EGFL8,,,,no,1.656,1.196,7684,2890,-0.47
EGFR,,,,no,5.938,3.547,27556,8572,-0.743
EGLN1,,,,no,2.137,2.077,9918,5019,-0.041
EGLN3,,,,no,0.342,0.345,1588,835,0.014
EGR2,,,,no,0.339,0.646,1575,1562,0.929
EGR3,,,,no,2.713,4.426,12590,10696,0.706
EGR4,,,,no,0.033,0.044,154,106,0.402
EHBP1,,,,no,1.197,1.543,5557,3730,0.366
EHF,,,,no,0.861,0.551,3997,1332,-0.644
EHMT1,,,,no,2.843,2.09,13196,5051,-0.444
EHMT2,,,,no,4.453,4.953,20665,11970,0.153
EID1,,,,no,3.617,3.704,16786,8951,0.034
EIF1AD,,,,no,1.612,1.744,7483,4216,0.114
EIF1AY,sex_chromosome,"Y-chromosome / X-inactivation genes with strong sex-of-donor bias. Empirical signature in this dataset: KDM5D and DDX3Y are 10.3% / 7.7% in 0041326 vs ~0% in 0041323 — donor-sex differs between samples. Exclude from cell-type scoring, PCA/scVI input, and any cross-sample comparison; retain in obs as a sex-confirmation tag only.",,yes,3.471,2.338,16109,5651,-0.57
EIF1B,,,,no,2.384,2.631,11064,6358,0.142
EIF2AK2,,,,no,3.569,3.153,16563,7620,-0.179
EIF2AK3,,,,no,2.351,2.02,10911,4881,-0.219
EIF2AK4,,,,no,2.727,1.904,12657,4601,-0.519
EIF2S1,,,,no,2.456,2.274,11397,5496,-0.111
EIF3A,,,,no,19.213,12.456,89166,30104,-0.625
EIF3C,,,,no,22.666,17.413,105189,42085,-0.38
EIF4A1,,,,no,20.511,17.62,95191,42585,-0.219
EIF4A3,,,,no,4.602,2.624,21359,6341,-0.811
EIF4E,,,,no,1.733,1.907,8044,4608,0.137
EIF4EBP1,,,,no,2.207,1.418,10242,3427,-0.638
EIF4EBP2,,,,no,4.93,4.951,22879,11965,0.006
EIF4EBP3,,,,no,2.059,1.609,9555,3889,-0.356
EIF4ENIF1,,,,no,2.397,2.226,11123,5380,-0.107
EIF4G1,,,,no,9.53,6.254,44226,15116,-0.608
EIF5A,,,,no,5.432,4.937,25210,11931,-0.138
EIF5AL1,,,,no,0.218,0.37,1014,895,0.761
EIPR1,,,,no,1.286,1.154,5967,2789,-0.156
ELAC1,,,,no,0.616,0.838,2860,2026,0.444
ELAC2,,,,no,4.138,2.899,19206,7007,-0.513
ELANE,,,,no,0.423,1.028,1965,2484,1.279
ELAVL1,,,,no,3.618,3.258,16789,7874,-0.151
ELF4,,,,no,3.269,2.807,15171,6784,-0.22
ELFN1,,,,no,0.216,0.292,1004,705,0.431
ELK1,,,,no,3.479,3.026,16146,7314,-0.201
ELK3,,,,no,1.238,1.383,5746,3342,0.159
ELK4,,,,no,4.439,4.214,20603,10184,-0.075
ELMOD1,,,,no,0.066,0.079,305,191,0.266
ELMOD2,,,,no,1.313,1.445,6094,3492,0.138
ELN,,,,no,0.221,0.367,1025,887,0.733
ELOB,,,,no,0.179,0.224,831,541,0.322
ELOC,,,,no,1.153,0.947,5353,2288,-0.285
ELSPBP1,,,,no,0.043,0.073,199,177,0.772
EMC1,,,,no,2.755,2.205,12786,5329,-0.321
EMC4,,,,no,0.94,0.638,4364,1543,-0.559
EMD,,,,no,4.498,3.34,20875,8073,-0.429
EMP1,,,,no,0.746,0.788,3464,1905,0.079
EMP2,,,,no,2.17,2.018,10072,4877,-0.105
EMSY,,,,no,1.781,1.534,8267,3707,-0.216
EMX2,,,,no,0.05,0.113,230,272,1.183
EN1,,,,no,0.197,0.166,914,400,-0.251
EN2,,,,no,0.031,0.053,145,128,0.761
ENG,,,,no,2.556,1.817,11863,4391,-0.493
ENKUR,,,,no,0.099,0.184,461,444,0.887
ENO2,,,,no,0.265,0.327,1229,791,0.306
ENOSF1,,,,no,3.002,3.282,13933,7932,0.129
ENOX1,,,,no,0.737,0.129,3422,311,-2.519
ENOX2,,,,no,1.785,1.356,8282,3278,-0.396
ENPEP,,,,no,0.772,0.546,3581,1320,-0.499
ENPP1,,,,no,3.335,1.161,15476,2805,-1.523
ENPP2,,,,no,2.716,1.694,12607,4093,-0.682
ENPP3,,,,no,5.297,0.483,24584,1167,-3.456
ENTPD1,,,,no,3.203,2.605,14864,6295,-0.298
ENTPD2,,,,no,0.048,0.053,225,128,0.127
ENTPD3,,,,no,0.145,0.162,675,392,0.157
EOMES,,,,no,0.183,0.201,847,486,0.14
EP300,,,,no,8.468,7.637,39300,18458,-0.149
EPAS1,,,,no,7.368,7.387,34195,17853,0.004
EPB41L3,,,,no,2.195,1.355,10188,3274,-0.696
EPCAM,,,,no,1.555,1.083,7218,2617,-0.522
EPDR1,,,,no,0.983,0.572,4563,1383,-0.781
EPG5,,,,no,1.853,1.527,8599,3691,-0.279
EPHA1,,,,no,4.351,2.925,20192,7069,-0.573
EPHA10,,,,no,0.164,0.154,761,373,-0.087
EPHA2,,,,no,0.75,0.686,3480,1659,-0.128
EPHA3,,,,no,0.159,0.193,737,466,0.28
EPHA4,,,,no,1.599,1.039,7422,2510,-0.623
EPHA7,,,,no,0.22,0.356,1023,861,0.693
EPHA8,,,,no,0.03,,137,0,
EPHB1,,,,no,0.316,0.142,1468,343,-1.156
EPHB2,,,,no,0.788,0.562,3659,1359,-0.488
EPHB4,,,,no,0.779,0.865,3614,2090,0.151
EPHB6,,,,no,1.893,2.7,8785,6525,0.512
EPHX1,,,,no,2.221,2.223,10306,5372,0.001
EPHX2,,,,no,4.807,4.538,22311,10968,-0.083
EPM2AIP1,,,,no,1.151,1.321,5343,3192,0.198
EPO,,,,no,0.066,0.072,308,174,0.117
EPOR,,,,no,0.534,0.495,2477,1196,-0.109
EPRS,,,,no,4.25,4.28,19726,10344,0.01
EPS8L3,,,,no,0.09,0.061,420,148,-0.564
ERAP1,,,,no,6.917,4.776,32099,11542,-0.534
ERBB2,,,,no,1.565,1.136,7265,2745,-0.463
ERBB3,,,,no,1.031,0.644,4787,1556,-0.68
ERC1,,,,no,2.492,2.121,11565,5125,-0.233
ERCC1,,,,no,3.104,2.54,14405,6138,-0.289
ERCC2,,,,no,1.841,1.483,8543,3584,-0.312
ERCC3,,,,no,3.066,2.398,14230,5795,-0.355
ERCC4,,,,no,1.195,1.061,5547,2565,-0.171
ERCC5,,,,no,3.948,3.672,18322,8875,-0.104
ERCC6,,,,no,3.336,2.789,15483,6741,-0.258
EREG,,,,no,0.056,0.08,258,193,0.522
ERFE,,,,no,0.039,0.08,182,193,1.026
ERG,,,,no,0.64,0.58,2972,1401,-0.144
ERG28,,,,no,0.852,0.705,3954,1705,-0.272
ERGIC2,,,,no,1.25,1.42,5803,3433,0.184
ERLIN2,,,,no,1.994,2.093,9256,5058,0.069
ERMAP,,,,no,1.716,1.115,7964,2696,-0.621
ERN1,,,,no,2.625,1.648,12182,3983,-0.672
ERP27,,,,no,0.924,0.725,4288,1752,-0.35
ERRFI1,,,,no,4.16,0.806,19308,1947,-2.369
ERVFRD-1,,,,no,0.075,0.132,350,320,0.812
ESF1,,,,no,1.237,1.559,5741,3769,0.334
ESM1,,,,no,0.082,0.146,379,352,0.835
ESR1,,,,no,0.525,0.493,2435,1191,-0.09
ESR2,,,,no,0.715,0.451,3320,1090,-0.666
ESRRA,,,,no,4.469,2.966,20742,7168,-0.592
ESRRG,,,,no,0.211,0.145,981,350,-0.546
ETS1,,,,no,11.402,7.083,52917,17119,-0.687
ETS2,,,,no,8.418,5.241,39067,12667,-0.684
ETV1,,,,no,0.174,0.185,808,447,0.087
ETV3,,,,no,2.307,1.277,10705,3086,-0.853
ETV5,,,,no,0.48,0.417,2227,1008,-0.202
ETV6,,,,no,4.036,2.399,18729,5797,-0.751
EVI2B,,,,no,2.517,2.069,11679,5001,-0.282
EVI5,,,,no,1.317,1.43,6111,3455,0.119
EWSR1,,,,no,20.963,13.614,97286,32904,-0.623
EXO1,,,,no,0.135,0.173,627,418,0.356
EXOSC10,,,,no,4.291,2.883,19913,6969,-0.573
EYA1,,,,no,3.405,2.692,15803,6507,-0.339
EYA4,,,,no,0.568,0.387,2637,936,-0.553
EZH1,,,,no,4.952,4.778,22983,11549,-0.052
EZH2,,,,no,2.459,2.188,11412,5289,-0.168
EZHIP,,,,no,0.154,0.211,715,511,0.457
F11,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.085,0.169,393,409,0.999
F11R,,,,no,6.336,4.598,29403,11114,-0.462
F12,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.052,0.069,240,166,0.409
F13A1,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,1.582,0.935,7343,2260,-0.759
F2R,,,,no,1.01,1.152,4686,2784,0.19
F2RL1,,,,no,0.284,0.307,1318,742,0.112
F2RL3,,,,no,0.114,0.123,529,297,0.108
F5,,,,no,0.239,0.295,1110,714,0.305
F7,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,1.038,1.803,4817,4358,0.797
F8,,,,no,0.25,0.174,1160,421,-0.521
FAAH,,,,no,1.132,0.962,5254,2325,-0.235
FABP2,,,,no,0.162,0.217,752,525,0.423
FABP3,,,,no,1.022,0.561,4744,1356,-0.865
FABP7,,,,no,0.169,0.19,782,458,0.169
FADD,,,,no,2.684,1.754,12456,4239,-0.614
FADS1,,,,no,0.184,0.166,854,402,-0.146
FADS2,,,,no,2.137,0.614,9919,1485,-1.798
FAF1,,,,no,6.06,4.72,28126,11407,-0.361
FAF2,,,,no,4.13,3.088,19169,7464,-0.419
FAIM,,,,no,0.337,0.314,1562,760,-0.098
FAIM2,,,,no,0.057,0.056,264,136,-0.016
FAM107A,,,,no,4.95,1.931,22971,4666,-1.358
FAM110A,,,,no,1.526,1.384,7084,3346,-0.141
FAM117B,,,,no,4.718,3.354,21898,8106,-0.492
FAM126B,,,,no,1.753,1.726,8137,4171,-0.023
FAM131C,,,,no,0.259,0.193,1201,467,-0.421
FAM161A,,,,no,0.318,0.254,1476,615,-0.322
FAM168A,,,,no,2.008,1.9,9319,4591,-0.08
FAM193A,,,,no,3.629,2.934,16844,7092,-0.307
FAM3A,,,,no,1.359,1.046,6306,2527,-0.378
FAM53C,,,,no,6.734,4.607,31252,11135,-0.548
FAM76B,,,,no,0.757,0.584,3513,1411,-0.375
FAM98A,,,,no,2.433,2.071,11290,5006,-0.232
FAM9B,,,,no,0.086,0.151,399,364,0.809
FANCA,,,,no,0.496,0.332,2304,803,-0.579
FANCC,,,,no,0.781,0.607,3625,1467,-0.364
FANCD2,,,,no,0.763,0.765,3540,1850,0.005
FANCI,,,,no,1.622,0.953,7529,2303,-0.768
FAP,,,,no,0.23,0.293,1067,708,0.35
FAR1,,,,no,4.373,4.565,20295,11034,0.062
FAS,,,,no,2.323,1.828,10781,4418,-0.346
FASLG,,,,no,0.073,0.132,340,319,0.849
FASN,,,,no,4.416,2.821,20493,6818,-0.646
FAT1,,,,no,1.109,0.891,5146,2154,-0.315
FAT2,,,,no,0.87,1.059,4038,2560,0.284
FAT3,,,,no,0.213,0.187,990,451,-0.193
FAT4,,,,no,0.744,0.638,3453,1543,-0.221
FBL,,,,no,19.382,14.258,89951,34460,-0.443
FBLN2,,,,no,0.716,1.295,3325,3131,0.855
FBLN5,,,,no,0.986,1.089,4576,2631,0.143
FBN1,,,,no,2.489,3.625,11552,8760,0.542
FBP1,,,,no,0.664,0.43,3082,1040,-0.626
FBXO16,,,,no,0.088,0.125,409,301,0.499
FBXO25,,,,no,2.623,2.41,12171,5824,-0.122
FBXO27,,,,no,0.77,0.25,3572,604,-1.623
FBXO33,,,,no,0.947,1.017,4394,2457,0.103
FBXO42,,,,no,1.313,1.078,6095,2606,-0.285
FBXO43,,,,no,0.084,0.103,391,250,0.296
FBXO45,,,,no,0.815,0.676,3783,1634,-0.27
FBXW11,,,,no,2.039,1.707,9461,4126,-0.256
FBXW7,,,,no,0.75,0.612,3483,1479,-0.294
FCAR,,,,no,0.112,0.204,518,494,0.873
FCER1A,,,,no,0.089,0.129,413,312,0.537
FCER2,,,,no,1.547,1.239,7178,2995,-0.32
FCGBP,,,,no,2.58,2.312,11972,5588,-0.158
FCGR1A,,,,no,0.1,0.142,465,344,0.506
FCGR2A,,,,no,3.617,3.735,16787,9026,0.046
FCGR2B,,,,no,0.528,0.484,2452,1169,-0.127
FCGR3A,,,,no,0.416,0.25,1931,604,-0.735
FCGR3B,,,,no,0.749,0.824,3477,1992,0.138
FCMR,,,,no,5.327,3.322,24724,8028,-0.682
FCN1,,,,no,0.098,0.826,454,1996,3.078
FCN2,,,,no,0.037,0.056,173,135,0.583
FCRL1,,,,no,0.774,0.788,3590,1904,0.026
FCRL2,,,,no,0.495,0.541,2295,1308,0.13
FCRL3,,,,no,0.679,0.641,3149,1549,-0.082
FCRL4,,,,no,0.126,0.114,583,275,-0.143
FCRL5,,,,no,1.957,1.063,9083,2568,-0.881
FCRLA,,,,no,0.166,0.146,771,352,-0.19
FDFT1,,,,no,3.763,2.397,17465,5794,-0.651
FDPS,,,,no,2.931,2.101,13602,5079,-0.48
FDX1,,,,no,1.444,1.506,6700,3641,0.061
FECH,,,,no,1.545,1.497,7168,3617,-0.046
FEN1,,,,no,1.238,0.694,5744,1677,-0.835
FENDRR,,,,no,0.084,0.132,390,320,0.656
FER,,,,no,0.994,1.208,4611,2919,0.282
FERMT3,,,,no,3.03,1.88,14062,4544,-0.689
FES,,,,no,2.011,2.025,9332,4894,0.01
FETUB,,,,no,0.128,0.113,592,273,-0.175
FEV,,,,no,0.054,0.06,250,146,0.165
FEZ1,,,,no,0.084,0.099,388,239,0.242
FEZF1,,,,no,0.061,0.099,284,240,0.698
FEZF2,,,,no,0.707,0.539,3280,1303,-0.391
FFAR1,,,,no,0.094,0.126,435,304,0.424
FGF1,,,,no,0.336,0.44,1560,1064,0.389
FGF10,,,,no,0.074,0.126,342,305,0.776
FGF13,,,,no,0.098,0.119,456,288,0.278
FGF19,,,,no,0.028,,128,0,
FGF2,,,,no,0.44,0.581,2042,1405,0.402
FGF21,,,,no,0.026,0.043,120,104,0.735
FGF23,,,,no,0.033,0.053,151,127,0.692
FGF4,,,,no,0.038,0.071,178,172,0.892
FGF7,,,,no,0.616,1.129,2858,2728,0.874
FGF9,,,,no,0.094,0.183,436,443,0.964
FGFBP2,,,,no,0.176,0.214,817,518,0.284
FGFR1,,,,no,2.063,2.187,9572,5286,0.085
FGFR2,,,,no,2.539,2.231,11785,5393,-0.187
FGFR3,,,,no,1.403,1.824,6512,4408,0.378
FGFR4,,,,no,0.077,0.102,359,246,0.396
FGR,,,,no,1.052,1.34,4882,3239,0.349
FH,,,,no,1.767,1.217,8199,2942,-0.537
FHAD1,,,,no,0.162,0.271,751,654,0.742
FHL1,,,,no,0.531,0.489,2463,1183,-0.117
FHL2,,,,no,0.507,0.789,2353,1908,0.639
FHL3,,,,no,1.642,1.726,7620,4171,0.072
FHOD1,,,,no,2.299,1.79,10669,4327,-0.361
FIBCD1,,,,no,0.035,0.042,163,102,0.265
FIBP,,,,no,3.624,2.994,16817,7236,-0.275
FILIP1L,,,,no,0.977,0.616,4535,1488,-0.666
FIP1L1,,,,no,4.93,3.733,22882,9022,-0.401
FKBP11,,,,no,2.104,1.892,9763,4573,-0.153
FKBP15,,,,no,2.799,2.773,12991,6703,-0.013
FKTN,,,,no,0.618,0.509,2870,1230,-0.281
FLCN,,,,no,4.736,3.362,21978,8126,-0.494
FLI1,,,,no,1.885,1.735,8748,4193,-0.12
FLII,,,,no,13.354,8.592,61973,20765,-0.636
FLNB,,,,no,9.304,6.957,43180,16814,-0.419
FLNC,,,,no,0.108,0.158,499,381,0.552
FLOT2,,,,no,15.366,11.234,71313,27152,-0.452
FLRT3,,,,no,1.257,1.067,5835,2580,-0.236
FLT3,,,,no,0.692,0.377,3211,912,-0.875
FLT3LG,,,,no,2.997,3.893,13907,9410,0.378
FLT4,,,,no,0.918,0.574,4262,1388,-0.677
FLYWCH1,,,,no,1.287,0.827,5973,1998,-0.639
FMC1,,,,no,1.559,1.227,7235,2965,-0.346
FMN1,,,,no,2.465,1.953,11439,4719,-0.336
FMN2,,,,no,0.088,0.142,409,342,0.683
FMO3,,,,no,0.077,0.097,356,234,0.336
FMO5,,,,no,0.579,0.251,2687,606,-1.207
FMOD,,,,no,1.169,1.039,5425,2511,-0.17
FN3KRP,,,,no,1.935,2.087,8980,5043,0.109
FNDC3A,,,,no,2.915,2.706,13528,6539,-0.108
FNDC3B,,,,no,2.341,2.175,10866,5256,-0.107
FNDC5,,,,no,0.105,0.126,489,305,0.26
FNTA,,,,no,3.806,3.346,17661,8087,-0.186
FOLH1,,,,no,0.075,0.139,348,335,0.886
FOLR1,,,,no,0.06,0.082,279,198,0.446
FOLR2,,,,no,0.828,0.85,3842,2054,0.038
FOSL1,,,,no,0.159,0.187,739,453,0.235
FOXA1,,,,no,0.09,0.136,419,328,0.588
FOXA2,,,,no,0.056,0.127,262,306,1.165
FOXB1,,,,no,0.077,0.165,359,399,1.094
FOXC1,,,,no,0.965,1.276,4480,3083,0.402
FOXC2,,,,no,0.07,0.1,324,242,0.52
FOXD2,,,,no,0.06,0.082,280,197,0.434
FOXE1,,,,no,0.454,0.505,2107,1221,0.154
FOXE3,,,,no,0.028,,130,0,
FOXF1,,,,no,0.069,0.112,322,270,0.687
FOXG1,,,,no,1.59,1.531,7378,3700,-0.054
FOXI1,,,,no,0.161,0.09,748,218,-0.837
FOXJ1,,,,no,0.078,0.067,362,162,-0.219
FOXJ2,,,,no,1.696,1.672,7869,4041,-0.02
FOXL2,,,,no,0.069,0.086,318,209,0.336
FOXM1,,,,no,0.336,0.23,1561,557,-0.545
FOXN1,,,,no,1.49,0.925,6913,2236,-0.687
FOXO1,,,,no,4.399,3.376,20416,8159,-0.382
FOXO3,,,,no,3.615,1.334,16777,3224,-1.438
FOXO4,,,,no,1.563,1.271,7256,3072,-0.299
FOXP1,,,,no,3.158,2.892,14654,6989,-0.127
FOXP2,,,,no,0.06,0.112,278,270,0.899
FOXP3,,,,no,1.612,1.067,7482,2578,-0.596
FOXP4,,,,no,3.351,2.17,15554,5244,-0.627
FOXRED1,,,,no,3.077,2.524,14278,6100,-0.286
FPR1,,,,no,0.242,0.472,1125,1140,0.96
FPR2,,,,no,0.146,0.326,676,787,1.161
FRA10AC1,,,,no,1.031,1.311,4785,3168,0.346
FRAS1,,,,no,0.642,0.53,2981,1281,-0.277
FREM1,,,,no,0.193,0.089,894,215,-1.115
FREM2,,,,no,0.142,0.142,660,343,-0.003
FRMD6,,,,no,0.592,0.849,2746,2053,0.522
FRMD7,,,,no,0.027,0.042,127,101,0.611
FRZB,,,,no,0.362,0.41,1682,990,0.177
FSCN1,,,,no,3.583,2.614,16628,6318,-0.455
FSHR,,,,no,0.04,0.071,187,172,0.821
FSIP1,,,,no,0.21,0.273,976,659,0.375
FST,,,,no,0.485,0.364,2250,879,-0.415
FSTL1,,,,no,1.927,1.918,8942,4636,-0.006
FSTL3,,,,no,0.263,0.207,1220,501,-0.343
FTO,,,,no,3.239,2.622,15034,6336,-0.305
FUBP3,,,,no,2.541,2.146,11792,5187,-0.244
FUCA1,,,,no,4.391,3.804,20376,9194,-0.207
FURIN,,,,no,4.439,2.598,20601,6279,-0.773
FUS,,,,no,6.353,6.537,29485,15799,0.041
FUT2,,,,no,0.149,0.158,690,382,0.088
FUT3,,,,no,0.371,0.391,1723,945,0.075
FUT4,,,,no,0.756,0.705,3510,1704,-0.101
FUT7,,,,no,0.437,0.297,2027,719,-0.554
FUT8,,,,no,1.586,1.023,7362,2472,-0.633
FXR2,,,,no,4.597,3.961,21332,9574,-0.215
FXYD7,,,,no,0.159,0.17,738,412,0.1
FYN,,,,no,5.017,3.562,23282,8609,-0.494
FZD1,,,,no,0.345,0.367,1599,887,0.091
FZD10,,,,no,0.241,0.224,1117,541,-0.105
FZD2,,,,no,0.175,0.178,810,429,0.024
FZD3,,,,no,0.911,1.12,4226,2708,0.299
FZD4,,,,no,2.022,1.864,9382,4504,-0.117
FZD6,,,,no,1.195,0.68,5548,1644,-0.813
FZD9,,,,no,0.077,0.065,359,156,-0.261
FZR1,,,,no,4.495,5.923,20859,14316,0.398
G6PD,,,,no,6.068,3.961,28160,9574,-0.615
GAA,,,,no,11.386,7.203,52843,17408,-0.661
GAB1,,,,no,1.118,0.791,5190,1912,-0.499
GAB2,,,,no,0.831,0.663,3855,1603,-0.325
GABBR1,,,,no,2.553,2.294,11850,5544,-0.155
GABBR2,,,,no,0.027,,125,0,
GABRA1,,,,no,0.068,0.131,316,316,0.941
GABRA2,,,,no,0.205,0.434,952,1049,1.081
GABRA3,,,,no,0.024,,111,0,
GABRA4,,,,no,0.098,0.145,455,350,0.563
GABRA5,,,,no,1.092,0.362,5070,875,-1.593
GABRA6,,,,no,0.047,0.098,220,236,1.043
GABRB2,,,,no,0.042,0.054,197,131,0.353
GABRB3,,,,no,0.681,0.321,3159,775,-1.086
GABRD,,,,no,0.149,0.127,692,308,-0.227
GABRG1,,,,no,0.126,0.209,586,504,0.724
GABRG2,,,,no,0.043,0.091,201,221,1.078
GABRG3,,,,no,0.132,0.149,612,361,0.18
GABRP,,,,no,0.974,0.657,4518,1588,-0.567
GABRQ,,,,no,0.03,0.046,138,111,0.627
GABRR3,,,,no,0.07,0.126,324,304,0.849
GAD1,,,,no,0.305,0.26,1417,628,-0.233
GAD2,,,,no,0.042,0.099,193,240,1.256
GADD45A,,,,no,3.576,2.255,16594,5450,-0.665
GADD45G,,,,no,0.614,0.353,2850,853,-0.799
GAGE1,,,,no,,0.043,0,105,
GAL,,,,no,0.268,0.187,1244,451,-0.523
GALE,,,,no,1.386,1.06,6431,2561,-0.387
GALK1,,,,no,0.874,0.627,4054,1515,-0.479
GALNS,,,,no,0.846,0.746,3925,1802,-0.182
GALP,,,,no,0.061,0.096,281,232,0.665
GALR1,,,,no,0.051,0.093,236,224,0.866
GANAB,,,,no,17.035,12.328,79057,29795,-0.467
GANC,,,,no,0.739,0.882,3428,2132,0.256
GAP43,,,,no,0.056,0.098,262,236,0.79
GART,,,,no,3.459,3.544,16055,8566,0.035
GAS2L1,,,,no,0.38,0.359,1763,868,-0.081
GAS6,,,,no,7.586,6.313,35204,15257,-0.265
GATA1,,,,no,0.025,,118,0,
GATA2,,,,no,0.532,0.389,2469,939,-0.453
GATA3,,,,no,1.326,1.086,6156,2625,-0.288
GATA4,,,,no,0.089,0.086,413,207,-0.055
GATA6,,,,no,0.287,0.421,1333,1017,0.551
GBA,,,,no,1.752,1.24,8131,2997,-0.499
GBE1,,,,no,2.037,1.685,9455,4073,-0.274
GBF1,,,,no,3.596,3.241,16690,7832,-0.15
GBP1,,,,no,2.382,2.611,11053,6311,0.133
GBP5,,,,no,1.018,0.896,4725,2165,-0.185
GBX2,,,,no,0.044,0.089,203,216,1.031
GC,,,,no,0.142,0.122,659,295,-0.218
GCGR,,,,no,0.054,0.046,250,110,-0.243
GCH1,,,,no,1.318,1.548,6119,3741,0.231
GCKR,,,,no,0.054,0.072,250,175,0.427
GCLM,,,,no,0.833,0.775,3868,1872,-0.106
GCM1,,,,no,0.056,0.099,261,239,0.814
GCN1,,,,no,5.105,3.923,23694,9481,-0.38
GCNT2,,,,no,0.204,0.292,947,705,0.516
GCNT4,,,,no,0.736,1.292,3415,3123,0.812
GDA,,,,no,0.452,0.456,2097,1101,0.012
GDF10,,,,no,0.159,0.206,739,498,0.372
GDF11,,,,no,0.84,1.037,3900,2506,0.303
GDF15,,,,no,0.078,0.083,362,201,0.092
GDF2,,,,no,0.03,0.049,138,118,0.715
GDF3,,,,no,0.025,,118,0,
GDF5,,,,no,0.03,0.043,139,103,0.509
GDF6,,,,no,0.041,0.096,190,231,1.223
GDF7,,,,no,0.103,0.125,476,302,0.285
GDF9,oocyte_germline,Oocyte / female germline-specific expression.,,yes,0.058,0.101,270,245,0.801
GDNF,,,,no,0.046,0.102,213,246,1.149
GFPT1,,,,no,3.108,2.341,14423,5659,-0.408
GGT1,,,,no,1.279,0.782,5937,1889,-0.711
GH1,,,,no,0.1,0.126,463,304,0.334
GHITM,,,,no,6.67,5.077,30953,12271,-0.394
GHR,,,,no,0.663,0.626,3075,1513,-0.082
GHRL,pancreatic_endocrine,"Pancreatic islet hormone; restricted to islet endocrine lineages (β, α, δ, γ/PP, ε). Not in thymus.",,yes,0.443,0.244,2057,590,-0.86
GHSR,,,,no,0.145,0.224,671,541,0.631
GIGYF1,,,,no,8.584,6.591,39839,15930,-0.381
GIMAP4,,,,no,5.384,4.198,24986,10147,-0.359
GIMAP5,,,,no,4.046,2.385,18775,5765,-0.762
GIMAP8,,,,no,1.405,1.567,6519,3787,0.158
GIPC1,,,,no,3.869,2.467,17954,5963,-0.649
GIPC2,,,,no,0.331,0.398,1535,963,0.269
GJA1,,,,no,1.518,1.159,7045,2801,-0.389
GJA5,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.106,0.094,492,228,-0.168
GJB6,,,,no,0.124,0.201,577,485,0.691
GJC1,,,,no,0.26,0.189,1206,457,-0.459
GKN1,,,,no,0.084,0.066,390,160,-0.344
GLA,,,,no,1.617,1.531,7505,3700,-0.079
GLB1,,,,no,3.78,2.155,17543,5209,-0.811
GLCCI1,,,,no,3.023,2.404,14030,5810,-0.331
GLDN,,,,no,0.448,0.354,2079,855,-0.341
GLI1,,,,no,0.166,0.108,771,260,-0.627
